date,gold_usd,silver_usd,lly_usd,wmt_usd,vrt_usd,ccj_usd,avgo_usd,jnj_usd,usdsek,gold_sek,silver_sek,gold_ret,silver_ret,lly_ret,wmt_ret,vrt_ret,ccj_ret,avgo_ret,jnj_ret,portfolio_ret
2013-05-07,1449.0000,23.7710,54.1700,26.2767,,20.3000,3.2540,85.5300,6.5309,9463.27,155.25,-1.3010,-0.6146,-0.5508,0.0000,,1.7034,-0.7927,1.0038,-0.3446
2013-05-08,1473.9000,23.8920,54.5200,26.0833,,20.7700,3.3500,85.4600,6.4962,9574.73,155.21,1.7184,0.5090,0.6461,-0.7358,,2.3153,2.9502,-0.0818,1.0658
2013-05-09,1468.8000,23.8790,54.5600,26.1333,,20.5600,3.3870,85.1500,6.5553,9628.40,156.53,-0.3460,-0.0544,0.0734,0.1917,,-1.0111,1.1045,-0.3627,-0.0841
2013-05-10,1436.8000,23.6320,54.8200,26.2967,,20.9000,3.4060,85.7600,,,,-2.1786,-1.0344,0.4765,0.6250,,1.6537,0.5610,0.7164,-0.2489
2013-05-13,1434.5000,23.6700,56.2800,26.1667,,20.7800,3.3620,85.8500,6.5998,9467.41,156.22,-0.1601,0.1608,2.6633,-0.4944,,-0.5742,-1.2918,0.1049,0.1489
2013-05-14,1424.7000,23.3550,55.8700,26.2600,,20.7500,3.3700,86.9700,6.6644,9494.77,155.65,-0.6832,-1.3308,-0.7285,0.3567,,-0.1444,0.2380,1.3046,-0.3049
2013-05-15,1396.5000,22.6430,56.7200,26.6200,,21.0000,3.4180,87.6400,6.6705,9315.35,151.04,-1.9794,-3.0486,1.5214,1.3709,,1.2048,1.4243,0.7704,-0.0788
2013-05-16,1387.1000,22.6430,55.9400,26.1667,,21.1700,3.4210,87.4500,6.6627,9241.78,150.86,-0.6731,0.0000,-1.3752,-1.7030,,0.8095,0.0878,-0.2168,-0.6157
2013-05-17,1364.9000,22.3390,55.9000,25.9567,,21.2500,3.4430,88.0900,,,,-1.6005,-1.3426,-0.0715,-0.8026,,0.3779,0.6431,0.7318,-0.5843
2013-05-20,1384.3000,22.5680,55.0200,25.8000,,21.5700,3.4440,88.0100,6.6470,9201.44,150.01,1.4214,1.0251,-1.5742,-0.6036,,1.5059,0.0290,-0.0908,0.3099
2013-05-21,1377.8000,22.4420,55.1400,25.7967,,22.2900,3.5090,88.5900,6.6057,9101.33,148.25,-0.4696,-0.5583,0.2181,-0.0129,,3.3380,1.8873,0.6590,0.4453
2013-05-22,1367.6000,22.4580,54.9200,25.6767,,22.1400,3.4560,88.4600,6.6439,9086.20,149.21,-0.7403,0.0713,-0.3990,-0.4652,,-0.6730,-1.5104,-0.1467,-0.5773
2013-05-23,1392.0000,22.4940,54.7400,25.4433,,21.8000,3.3970,87.2100,6.6558,9264.87,149.72,1.7841,0.1603,-0.3277,-0.9087,,-1.5357,-1.7072,-1.4131,-0.1282
